proto,type,code,name
1,0,0,echo-reply
1,3,0,net-unreachable
1,3,1,host-unreachable
1,3,2,proto-unreachable
1,3,3,port-unreachable
1,3,4,frag-needed
1,3,5,source-route-failed
1,3,6,net-unknown
1,3,7,host-unknown
1,3,8,host-isolated
1,3,9,net-prohibited
1,3,10,host-prohibited
1,3,11,net-tos-unreachable
1,3,12,host-tos-unreachable
1,3,13,admin-prohibited
1,3,14,host-precedence-violation
1,3,15,precendence-cutoff
1,4,0,source-quench
1,5,0,net-redirect
1,5,1,host-redirect
1,5,2,net-tos-redirect
1,5,3,host-tos-redirect
1,8,0,echo-request
1,9,0,router-advertisement
1,10,0,router-selection
1,11,0,ttl-exceeded
1,11,1,ttl-exceeded-reassembly
1,12,0,ip-header-bad
1,12,1,required-option-missing
1,13,0,timestamp-request
1,14,0,timestamp-reply
1,15,0,information-request
1,16,0,information-reply
1,17,0,address-mask-request
1,18,0,address-mask-reply
58,1,0,no-route
58,1,1,admin-prohibited
58,1,2,beyond-scope
58,1,3,address-unreachable
58,1,4,port-unreachable
58,1,5,failed-policy
58,1,6,reject-route
58,2,0,packet-too-big
58,3,0,ttl-exceeded
58,3,1,ttl-exceeded-reassembly
58,4,0,bad-header
58,4,1,unknown-header-type
58,4,2,unknown-option
58,128,0,echo-request
58,129,0,echo-reply
58,130,0,multicast-query
58,131,0,multicast-report
58,132,0,multicast-done
58,133,0,router-solicitation
58,134,0,router-advertisement
58,135,0,neighbor-solicitation
58,136,0,neighbor-advertisement
58,137,0,redirect
